漢字,絞り込み
一,𢆶
一,ノ
一,⺄
一,一
一,丨
一,丶
一,丿
一,乀
一,乙
一,乚
一,乛
一,亅
一,𠂉
一,𠆢
一,⺀
一,⺁
一,⺈
一,㐅
一,㔾
一,丁
一,丂
一,七
一,丅
一,丆
一,丩
一,丷
一,乂
一,乃
一,九
一,了
一,二
一,亠
一,人
一,亻
一,儿
一,入
一,八
一,冂
一,冖
一,冫
一,几
一,凵
一,刀
一,刂
一,力
一,勹
一,匕
一,匚
一,匸
一,十
一,卜
一,卩
一,厂
一,厶
一,又
一,巜
一,讠
一,龴
一,⺌
一,⺍
一,䒑
一,万
一,三
一,上
一,丌
一,丫
一,丬
一,丸
一,久
一,乇
一,之
一,乞
一,也
一,亍
一,于
一,亏
一,亡
一,亼
一,亾
一,兀
一,凡
一,刃
一,刄
一,勺
一,卂
一,千
一,卄
一,卪
一,叉
一,及
一,口
一,囗
一,土
一,士
一,夂
一,夊
一,夕
一,大
一,女
一,子
一,宀
一,寸
一,小
一,尢
一,尸
一,屮
一,山
一,巛
一,川
一,工
一,己
一,巳
一,巾
一,干
一,幺
一,广
一,廴
一,廾
一,弋
一,弓
一,彐
一,彑
一,彡
一,彳
一,忄
一,扌
一,氵
一,犭
一,纟
一,艹
一,门
一,阝
一,饣
一,马
一,⺧
一,㐄
一,㕚
一,㣺
一,不
一,丏
一,丑
一,中
一,丯
一,丰
一,丹
一,乏
一,予
一,云
一,五
一,井
一,亢
一,今
一,介
一,仌
一,从
一,允
一,元
一,內
一,公
一,冃
一,冄
一,内
一,円
一,冘
一,凶
一,刅
一,分
一,切
一,勿
一,匂
一,化
一,卆
一,卝
一,厃
一,厄
一,厷
一,厸
一,友
一,双
一,反
一,壬
一,天
一,太
一,夫
一,夬
一,夭
一,少
一,尣
一,尤
一,尹
一,尺
一,屯
一,巴
一,帀
一,廿
一,开
一,弔
一,心
一,戈
一,戶
一,戸
一,手
一,支
一,攴
一,攵
一,文
一,斗
一,斤
一,方
一,旡
一,日
一,月
一,木
一,欠
一,止
一,歹
一,殳
一,毋
一,比
一,毛
一,氏
一,气
一,水
一,火
一,灬
一,爪
一,爫
一,父
一,爻
一,爿
一,片
一,牙
一,牛
一,犬
一,王
一,礻
一,耂
一,肀
一,见
一,贝
一,车
一,辶
一,韦
一,风
一,龰
一,龶
一,龷
一,㐌
一,㐱
一,㕣
一,㠯
一,且
一,丕
一,世
一,丘
一,丙
一,业
一,主
一,乍
一,乐
一,付
一,仝
一,代
一,令
一,以
一,兂
一,兄
一,冉
一,冊
一,冋
一,冬
一,出
一,功
一,加
一,匃
一,包
一,北
一,匝
一,卉
一,占
一,卯
一,厈
一,厉
一,去
一,古
一,句
一,叩
一,只
一,召
一,可
一,台
一,叱
一,史
一,右
一,司
一,叹
一,囚
一,四
一,圣
一,圥
一,处
一,夗
一,央
一,夰
一,失
一,奴
一,宂
一,它
一,尓
一,尔
一,左
一,巨
一,平
一,幼
一,広
一,弍
一,弗
一,必
一,戊
一,戹
一,斥
一,旦
一,旧
一,未
一,末
一,本
一,朮
一,术
一,正
一,歺
一,母
一,氐
一,民
一,氶
一,氷
一,永
一,氺
一,犮
一,玄
一,玉
一,瓦
一,甘
一,生
一,用
一,田
一,由
一,甲
一,申
一,电
一,疋
一,疒
一,癶
一,白
一,皮
一,皿
一,目
一,矛
一,矢
一,石
一,示
一,禸
一,禾
一,穴
一,立
一,罒
一,艾
一,衤
一,钅
一,鸟
一,龙
一,龱
一,龸
一,𠂤
一,⺷
一,㐆
一,㐫
一,㓞
一,㦮
一,㫐
一,䏍
一,両
一,乔
一,争
一,亘
一,交
一,亥
一,亦
一,伏
一,休
一,会
一,兆
一,先
一,光
一,全
一,共
一,兴
一,再
一,冎
一,军
一,刑
一,刖
一,列
一,则
一,印
一,危
一,厽
一,叒
一,吁
一,吂
一,各
一,吅
一,合
一,吉
一,吋
一,同
一,后
一,吕
一,回
一,囟
一,因
一,圭
一,多
一,夹
一,存
一,安
一,尗
一,屰
一,巩
一,幵
一,并
一,庄
一,弚
一,弜
一,戌
一,戍
一,戎
一,成
一,执
一,旨
一,早
一,旬
一,曲
一,曳
一,有
一,朱
一,朶
一,次
一,此
一,死
一,毎
一,汙
一,江
一,灰
一,牟
一,瓜
一,甶
一,百
一,竹
一,米
一,糸
一,糹
一,缶
一,网
一,羊
一,羽
一,老
一,考
一,而
一,耒
一,耳
一,聿
一,肉
一,自
一,至
一,臼
一,舌
一,舛
一,舟
一,艮
一,色
一,芒
一,虍
一,虫
一,血
一,行
一,衣
一,襾
一,西
一,覀
一,页
一,齐
一,龹
一,𦥑
一,⺽
一,㐬
一,㳄
一,䖝
一,余
一,克
一,兌
一,兑
一,兵
一,冝
一,利
一,助
一,劫
一,劳
一,医
一,卤
一,即
一,卵
一,君
一,吾
一,吿
一,呂
一,告
一,呑
一,员
一,囬
一,困
一,坐
一,坚
一,壯
一,声
一,夅
一,夆
一,夋
一,夾
一,妥
一,孚
一,孝
一,完
一,宏
一,寽
一,尨
一,局
一,岑
一,巠
一,弄
