漢字,含む漢字
一,一
一,二
一,丁
一,丅
一,丄
一,丆
一,三
一,勺
一,兀
一,廾
一,尢
一,丌
一,亏
一,亐
一,亍
一,亼
一,䒑
一,卄
一,㐉
一,㔿
一,亇
一,𠫓
一,天
一,今
一,元
一,夫
一,仁
一,互
一,井
一,升
一,云
一,尤
一,弌
一,卅
一,弖
一,气
一,无
一,歹
一,帀
一,丒
一,丰
一,丮
一,㞢
一,仃
一,开
一,亓
一,冃
一,冄
一,勻
一,亖
一,亣
一,巿
一,㓅
一,㔫
一,㠪
一,㢧
一,厅
一,闩
一,龷
一,订
一,㝉
一,左
一,正
一,石
一,本
一,右
一,半
一,打
一,司
一,失
一,末
一,未
一,令
一,可
一,弁
一,冊
一,庁
一,丙
一,旦
一,丼
一,汀
一,丕
一,弍
一,冉
一,卉
一,卮
一,叮
一,辷
一,册
一,甩
一,仨
一,仢
一,亗
一,卌
一,圢
一,夳
一,奵
一,宁
一,帄
一,忊
一,艼
一,邒
一,㐳
一,㣔
一,䍏
一,䦺
一,龙
一,氐
一,㔺
一,丛
一,兰
一,⺻
一,击
一,氕
一,灭
一,饤
一,㝳
一,𠀑
一,𦉰
一,𣥄
一,気
一,先
一,百
一,会
一,光
一,行
一,合
一,西
一,同
一,死
一,両
一,列
一,共
一,伝
一,灯
一,再
一,在
一,后
一,至
一,存
一,汚
一,弐
一,刑
一,吏
一,亙
一,亘
一,而
一,夙
一,丞
一,冱
一,夸
一,妁
一,并
一,戌
一,聿
一,芍
一,耒
一,弎
一,丟
一,㐁
一,阢
一,玎
一,扤
一,扚
一,朾
一,仱
一,伕
一,仾
一,关
一,刓
一,刏
一,㓝
一,㱙
一,丠
一,乭
一,仹
一,伂
一,优
一,伨
一,兴
一,圬
一,圴
一,夹
一,尥
一,屰
一,屼
一,师
一,异
一,忈
一,扥
一,氖
一,汋
一,污
一,犳
一,龹
一,㐓
一,㐹
一,㐼
一,㒫
一,㔕
一,㕂
一,㕃
一,㕄
一,㚦
一,㝼
一,㢩
一,㢪
一,㣿
一,㧇
一,彴
一,扝
一,芌
一,㓞
一,㱏
一,䂖
一,亚
一,伫
一,⺷
一,凨
一,动
一,闫
一,尧
一,氘
一,约
一,㐾
一,讲
一,㘟
一,㚏
一,𠑺
一,𤯔
一,𠠺
一,𡧃
一,町
一,何
一,汽
一,形
一,体
一,里
一,囲
一,完
一,芸
一,低
一,冷
一,均
一,判
一,戒
一,含
一,更
一,伺
一,寿
一,伴
一,邦
一,亜
一,吟
一,呉
一,佐
一,但
一,扶
一,弄
一,佑
一,杓
一,灼
一,芙
一,伶
一,佚
一,佇
一,佞
一,刪
一,妍
一,尨
一,岑
一,沍
一,沛
一,阮
一,疔
一,芫
一,亊
一,弃
一,甼
一,妛
一,乕
一,巵
一,犹
一,夽
一,吞
一,删
一,两
一,叓
一,凬
一,镸
一,阱
一,㘫
一,阩
一,迃
一,邢
一,䢵
一,芈
一,芩
一,芾
一,玓
一,旳
一,矴
一,忨
一,忶
一,㦯
一,抎
一,抏
一,㧊
一,抍
一,杇
一,杌
一,呏
一,佂
一,伾
一,冸
一,㝴
一,刢
一,劯
一,匥
一,㔷
一,佅
一,劮
一,厎
一,吴
一,呁
一,呋
一,呍
一,囩
一,囬
一,园
一,坃
一,坅
一,坓
一,坖
一,坘
一,坙
一,夆
一,妋
一,妌
一,妗
一,妘
