漢字,言葉,常用漢字表付表の語
一,◦小学校で習う読み◦一日,ついたち
一,◦小学校で習う読み◦一人,ひとり
雨,◦中学校で習う読み◦五月雨,さみだれ
雨,◦中学校で習う読み◦時雨,しぐれ
雨,◦中学校で習う読み◦梅雨,つゆ
気,◦中学校で習う読み◦意気地,いくじ
気,◦高校で習う読み◦浮気,うわき
下,◦小学校で習う読み◦下手,へた
月,◦中学校で習う読み◦五月,さつき
月,◦中学校で習う読み◦五月雨,さみだれ
五,◦中学校で習う読み◦五月,さつき
五,◦中学校で習う読み◦五月雨,さみだれ
三,◦中学校で習う読み◦三味線,しゃみせん
山,◦小学校で習う読み◦富山,とやま
山,◦高校で習う読み◦山車,だし
山,◦高校で習う読み◦築山,つきやま
子,◦小学校で習う読み◦迷子,まいご
子,◦中学校で習う読み◦息子,むすこ
七,◦小学校で習う読み◦七夕,たなばた
車,◦高校で習う読み◦山車,だし
手,◦小学校で習う読み◦上手,じょうず
手,◦小学校で習う読み◦手伝う,てつだう
手,◦小学校で習う読み◦下手,へた
十,◦小学校で習う読み◦二十日,はつか
十,◦中学校で習う読み◦二十,はたち
十,◦中学校で習う読み◦二十歳,はたち
十,◦高校で習う読み◦十重二十重,とえはたえ
女,◦中学校で習う読み◦乙女,おとめ
女,◦中学校で習う読み◦早乙女,さおとめ
女,◦高校で習う読み◦海女,あま
小,◦中学校で習う読み◦小豆,あずき
上,◦小学校で習う読み◦上手,じょうず
人,◦小学校で習う読み◦大人,おとな
人,◦小学校で習う読み◦一人,ひとり
人,◦小学校で習う読み◦二人,ふたり
人,◦中学校で習う読み◦若人,わこうど
人,◦高校で習う読み◦玄人,くろうと
人,◦高校で習う読み◦素人,しろうと
人,◦高校で習う読み◦仲人,なこうど
水,◦小学校で習う読み◦清水,しみず
生,◦中学校で習う読み◦芝生,しばふ
生,◦中学校で習う読み◦弥生,やよい
青,◦小学校で習う読み◦真っ青,まっさお
赤,◦小学校で習う読み◦真っ赤,まっか
夕,◦小学校で習う読み◦七夕,たなばた
川,◦小学校で習う読み◦神奈川,かながわ
川,◦小学校で習う読み◦川原,かわら
草,◦中学校で習う読み◦草履,ぞうり
早,◦中学校で習う読み◦早乙女,さおとめ
足,◦中学校で習う読み◦足袋,たび
大,◦小学校で習う読み◦大分,おおいた
大,◦小学校で習う読み◦大阪,おおさか
大,◦小学校で習う読み◦大人,おとな
大,◦中学校で習う読み◦大和,やまと
竹,◦中学校で習う読み◦竹刀,しない
田,◦中学校で習う読み◦田舎,いなか
土,◦中学校で習う読み◦土産,みやげ
二,◦小学校で習う読み◦二十日,はつか
二,◦小学校で習う読み◦二人,ふたり
二,◦小学校で習う読み◦二日,ふつか
二,◦中学校で習う読み◦二十,はたち
二,◦中学校で習う読み◦二十歳,はたち
二,◦高校で習う読み◦十重二十重,とえはたえ
日,◦小学校で習う読み◦明日,あす
日,◦小学校で習う読み◦昨日,きのう
日,◦小学校で習う読み◦今日,きょう
日,◦小学校で習う読み◦一日,ついたち
日,◦小学校で習う読み◦二十日,はつか
日,◦小学校で習う読み◦二日,ふつか
日,◦中学校で習う読み◦日和,ひより
年,◦小学校で習う読み◦今年,ことし
白,◦中学校で習う読み◦白髪,しらが
八,◦小学校で習う読み◦八百屋,やおや
八,◦高校で習う読み◦八百長,やおちょう
百,◦小学校で習う読み◦八百屋,やおや
百,◦高校で習う読み◦八百長,やおちょう
名,◦中学校で習う読み◦仮名,かな
名,◦中学校で習う読み◦名残,なごり
木,◦中学校で習う読み◦木綿,もめん
目,◦小学校で習う読み◦真面目,まじめ
立,◦中学校で習う読み◦立ち退く,たちのく
家,◦高校で習う読み◦母家,おもや
海,◦中学校で習う読み◦海原,うなばら
海,◦高校で習う読み◦海士,あま
海,◦高校で習う読み◦海女,あま
楽,◦高校で習う読み◦神楽,かぐら
顔,◦中学校で習う読み◦笑顔,えがお
魚,◦高校で習う読み◦雑魚,ざこ
今,◦小学校で習う読み◦今日,きょう
今,◦小学校で習う読み◦今朝,けさ
今,◦小学校で習う読み◦今年,ことし
兄,◦小学校で習う読み◦兄さん,にいさん
計,◦小学校で習う読み◦時計,とけい
原,◦小学校で習う読み◦川原,かわら
原,◦小学校で習う読み◦河原,かわら
原,◦中学校で習う読み◦海原,うなばら
黄,◦中学校で習う読み◦硫黄,いおう
行,◦中学校で習う読み◦行方,ゆくえ
姉,◦小学校で習う読み◦姉さん,ねえさん
止,◦中学校で習う読み◦波止場,はとば
時,◦小学校で習う読み◦時計,とけい
時,◦中学校で習う読み◦時雨,しぐれ
色,◦小学校で習う読み◦景色,けしき
場,◦中学校で習う読み◦波止場,はとば
心,◦中学校で習う読み◦心地,ここち
数,◦高校で習う読み◦数珠,じゅず
数,◦高校で習う読み◦数奇屋,すきや
数,◦高校で習う読み◦数寄屋,すきや
雪,◦中学校で習う読み◦雪崩,なだれ
雪,◦中学校で習う読み◦吹雪,ふぶき
船,◦高校で習う読み◦伝馬船,てんません
線,◦中学校で習う読み◦三味線,しゃみせん
走,◦高校で習う読み◦師走,しはす
走,◦高校で習う読み◦師走,しわす
太,◦中学校で習う読み◦太刀,たち
地,◦中学校で習う読み◦意気地,いくじ
地,◦中学校で習う読み◦心地,ここち
長,◦高校で習う読み◦八百長,やおちょう
朝,◦小学校で習う読み◦今朝,けさ
鳥,◦小学校で習う読み◦鳥取,とっとり
刀,◦中学校で習う読み◦竹刀,しない
刀,◦中学校で習う読み◦太刀,たち
読,◦高校で習う読み◦読経,どきょう
馬,◦高校で習う読み◦伝馬船,てんません
父,◦小学校で習う読み◦父さん,とうさん
父,◦中学校で習う読み◦伯父,おじ
父,◦中学校で習う読み◦叔父,おじ
風,◦中学校で習う読み◦風邪,かぜ
分,◦小学校で習う読み◦大分,おおいた
母,◦小学校で習う読み◦母さん,かあさん
母,◦中学校で習う読み◦乳母,うば
母,◦中学校で習う読み◦伯母,おば
母,◦中学校で習う読み◦叔母,おば
母,◦高校で習う読み◦母家,おもや
母,◦高校で習う読み◦母屋,おもや
方,◦中学校で習う読み◦行方,ゆくえ
明,◦小学校で習う読み◦明日,あす
野,◦高校で習う読み◦野良,のら
友,◦小学校で習う読み◦友達,ともだち
意,◦中学校で習う読み◦意気地,いくじ
屋,◦小学校で習う読み◦部屋,へや
屋,◦小学校で習う読み◦八百屋,やおや
屋,◦高校で習う読み◦母屋,おもや
屋,◦高校で習う読み◦数奇屋,すきや
屋,◦高校で習う読み◦数寄屋,すきや
岸,◦高校で習う読み◦河岸,かし
宮,◦小学校で習う読み◦宮城,みやぎ
者,◦高校で習う読み◦猛者,もさ
酒,◦高校で習う読み◦お神酒,おみき
取,◦小学校で習う読み◦鳥取,とっとり
重,◦高校で習う読み◦十重二十重,とえはたえ
真,◦小学校で習う読み◦真面目,まじめ
真,◦小学校で習う読み◦真っ赤,まっか
真,◦小学校で習う読み◦真っ青,まっさお
神,◦小学校で習う読み◦神奈川,かながわ
神,◦高校で習う読み◦お神酒,おみき
神,◦高校で習う読み◦神楽,かぐら
