漢字,部首,部首の読み方
一,一部,いち
音,音部,おと・おとへん
雨,雨部,あめ・あめかんむり・あまかんむり
円,冂部,けいがまえ・まきがまえ・えんがまえ・どうがまえ
王,玉部,たま・たまへん・おうへん
火,火部,ひ・ひへん・れっか・れんが
花,艸部,くさ・くさかんむり・そうこう
貝,貝部,かい・かいへん・こがい
学,子部,こ・こへん・こども・こどもへん
休,人部,ひと・にんべん・ひとがしら・ひとやね
九,乙部,おつ・おつにょう・つりばり
玉,玉部,たま・たまへん・おうへん
空,穴部,あな・あなかんむり
気,气部,きがまえ
下,一部,いち
月,月部,つき・つきへん
見,見部,みる
犬,犬部,いぬ・けものへん
五,二部,に
口,口部,くち・くちへん
校,木部,き・きへん
金,金部,かね・かねへん
左,工部,え・たくみ・たくみへん・こう
三,一部,いち
山,山部,やま・やまへん・やまかんむり
四,囗部,くにがまえ
子,子部,こ・こへん・こども・こどもへん
糸,糸部,いと・いとへん
字,子部,こ・こへん・こども・こどもへん
耳,耳部,みみ・みみへん
七,一部,いち
車,車部,くるま・くるまへん
手,手部,て・てへん
十,十部,じゅう
出,凵部,かんにょう・うけばこ・かんがまえ
女,女部,おんな・おんなへん
小,小部,しょう・しょうがしら・なおがしら
正,止部,とめる・とめへん
上,一部,いち
森,木部,き・きへん
人,人部,ひと・にんべん・ひとがしら・ひとやね
水,水部,みず・さんずい・したみず
生,生部,いきる・うまれる
青,靑部,あお・あおへん
赤,赤部,あか・あかへん
石,石部,いし・いしへん
夕,夕部,ゆうべ・ゆう・た
千,十部,じゅう
先,儿部,にんにょう・ひとあし
川,巛・,部（かわ・まげかわ・まがりがわ
草,艸部,くさ・くさかんむり・そうこう
早,日部,ひ・ひへん・にち・にちへん
足,足部,あし・あしへん
村,木部,き・きへん
大,大部,だい
男,田部,た・たへん
竹,竹部,たけ・たけかんむり
虫,虫部,むし・むしへん
中,丨部,たてぼう・ぼう
町,田部,た・たへん
天,大部,だい
田,田部,た・たへん
土,土部,つち・つちへん・どへん
二,二部,に
日,日部,ひ・ひへん・にち・にちへん
入,入部,いる・にゅう・いりがしら・いりやね
年,干部,かん・いちじゅう・ほす
白,白部,しろ・しろへん
八,八部,はち・はちがしら・は
百,白部,しろ・しろへん
本,木部,き・きへん
名,口部,くち・くちへん
木,木部,き・きへん
目,目部,め・めへん
文,文部,ぶん・ぶんにょう
右,口部,くち・くちへん
力,力部,ちから
立,立部,たつ・たつへん
林,木部,き・きへん
六,八部,はち・はちがしら・は
引,弓部,ゆみ・ゆみへん
羽,羽・,部（はね
雲,雨部,あめ・あめかんむり・あまかんむり
遠,辵部,しんにょう・しんにゅう
園,囗部,くにがまえ
家,宀部,うかんむり
何,人部,ひと・にんべん・ひとがしら・ひとやね
夏,夂・,部（ふゆがしら・ち・すいにょう・なつあし
科,禾部,のぎ・のぎへん
歌,欠部,あくび・かける・けんづくり
画,田部,た・たへん
会,人部,ひと・にんべん・ひとがしら・ひとやね
回,囗部,くにがまえ
海,水部,みず・さんずい・したみず
絵,糸部,いと・いとへん
外,夕部,ゆうべ・ゆう・た
角,角部,つの・つのへん・かく
楽,木部,き・きへん
活,水部,みず・さんずい・したみず
間,門部,もん・もんがまえ・かどがまえ
顔,頁部,おおがい・いちのかい
岩,山部,やま・やまへん・やまかんむり
丸,丶部,てん・ちょぼ
記,言部,げん・ごんべん・ことば
汽,水部,みず・さんずい・したみず
帰,巾部,はば・はばへん・きんべん）刀部（かたな・りっとう
弓,弓部,ゆみ・ゆみへん
牛,牛部,うし・うしへん
魚,魚部,うお・うおへん・さかなへん
教,攴部,ぼくにょう・ぼくづくり・とまた・のぶん
強,弓部,ゆみ・ゆみへん
近,辵部,しんにょう・しんにゅう
今,人部,ひと・にんべん・ひとがしら・ひとやね
兄,儿部,にんにょう・ひとあし
形,彡部,さんづくり
京,亠部,なべぶた・けいさんかんむり
計,言部,げん・ごんべん・ことば
原,厂部,がんだれ
言,言部,げん・ごんべん・ことば
元,儿部,にんにょう・ひとあし
古,口部,くち・くちへん
戸,戶部,と・とだれ・とかんむり・とびらのと
語,言部,げん・ごんべん・ことば
午,十部,じゅう
後,彳部,ぎょうにんべん
広,广部,まだれ
交,亠部,なべぶた・けいさんかんむり
工,工部,え・たくみ・たくみへん・こう
光,儿部,にんにょう・ひとあし
公,八部,はち・はちがしら・は
考,老部,おいかんむり・おいがしら・おい
黄,黃・,部（き・きいろ
行,行部,ぎょう・ぎょうがまえ・ゆきがまえ）彳部（ぎょうにんべん
高,高部,たかい
合,口部,くち・くちへん
国,囗部,くにがまえ
谷,谷部,たに・たにへん
黒,黑・,部（くろ・くろへん
細,糸部,いと・いとへん
才,手部,て・てへん
作,人部,ひと・にんべん・ひとがしら・ひとやね
算,竹部,たけ・たけかんむり
紙,糸部,いと・いとへん
矢,矢部,や・やへん
姉,女部,おんな・おんなへん
市,巾部,はば・はばへん・きんべん
止,止部,とめる・とめへん
時,日部,ひ・ひへん・にち・にちへん
寺,寸部,すん・すんづくり
自,自部,みずから
