漢字,文字コード,コード,その他
一,Unicode,U+4E00,NULL
一,JIS X 0213,1-16-76,面区点番号
一,Shift_JIS-2004,88EA,NULL
一,MJ文字図形名,MJ006294,NULL
一,戸籍統一文字番号,000010,NULL
一,住基ネット統一文字コード,J+4E00,NULL
音,Unicode,U+97F3,NULL
音,JIS X 0213,1-18-27,面区点番号
音,Shift_JIS-2004,89B9,NULL
音,MJ文字図形名,MJ028122,NULL
音,MJ文字図形名,MJ028123,NULL
音,戸籍統一文字番号,490110,MJ028122
音,戸籍統一文字番号,490120,MJ028123
音,住基ネット統一文字コード,J+97F3,MJ028122
音,住基ネット統一文字コード,J+BEE6,MJ028123
雨,Unicode,U+96E8,NULL
雨,JIS X 0213,1-17-11,面区点番号
雨,Shift_JIS-2004,894A,NULL
雨,MJ文字図形名,MJ027770,NULL
雨,MJ文字図形名,MJ027771,NULL
雨,戸籍統一文字番号,478680,MJ027770
雨,戸籍統一文字番号,478690,MJ027771
雨,住基ネット統一文字コード,J+96E8,MJ027770
雨,住基ネット統一文字コード,J+BE97,MJ027771
円,Unicode,U+5186,NULL
円,JIS X 0213,1-17-63,面区点番号
円,Shift_JIS-2004,897E,NULL
円,MJ文字図形名,MJ007305,NULL
円,戸籍統一文字番号,017820,NULL
円,住基ネット統一文字コード,J+5186,NULL
王,Unicode,U+738B,NULL
王,JIS X 0213,1-18-06,面区点番号
王,Shift_JIS-2004,89A4,NULL
王,MJ文字図形名,MJ017120,NULL
王,戸籍統一文字番号,233610,NULL
王,住基ネット統一文字コード,J+738B,NULL
火,Unicode,U+706B,NULL
火,JIS X 0213,1-18-48,面区点番号
火,Shift_JIS-2004,89CE,NULL
火,MJ文字図形名,MJ016260,NULL
火,戸籍統一文字番号,212430,NULL
火,住基ネット統一文字コード,J+706B,NULL
花,Unicode,U+82B1,NULL
花,JIS X 0213,1-18-54,面区点番号
花,Shift_JIS-2004,89D4,NULL
花,MJ文字図形名,MJ021591,NULL
花,MJ文字図形名,MJ021592,NULL
花,MJ文字図形名,MJ021593,NULL
花,MJ文字図形名,MJ021594,NULL
花,戸籍統一文字番号,342660,MJ021591
花,戸籍統一文字番号,343490,MJ021592
花,住基ネット統一文字コード,J+82B1,MJ021591
花,住基ネット統一文字コード,J+B933,MJ021593
花,住基ネット統一文字コード,J+B937,MJ021594
貝,Unicode,U+8C9D,NULL
貝,JIS X 0213,1-19-13,面区点番号
貝,Shift_JIS-2004,8A4C,NULL
貝,MJ文字図形名,MJ024995,NULL
貝,戸籍統一文字番号,415730,NULL
貝,住基ネット統一文字コード,J+8C9D,NULL
学,Unicode,U+5B66,NULL
学,JIS X 0213,1-19-56,面区点番号
学,Shift_JIS-2004,8A77,NULL
学,MJ文字図形名,MJ010075,NULL
学,戸籍統一文字番号,079270,NULL
学,住基ネット統一文字コード,J+5B66,NULL
休,Unicode,U+4F11,NULL
休,JIS X 0213,1-21-57,面区点番号
休,Shift_JIS-2004,8B78,NULL
休,MJ文字図形名,MJ006577,NULL
休,戸籍統一文字番号,005330,NULL
休,住基ネット統一文字コード,J+4F11,NULL
九,Unicode,U+4E5D,NULL
九,JIS X 0213,1-22-69,面区点番号
九,Shift_JIS-2004,8BE3,NULL
九,MJ文字図形名,MJ006404,NULL
九,戸籍統一文字番号,002010,NULL
九,住基ネット統一文字コード,J+4E5D,NULL
玉,Unicode,U+7389,NULL
