漢字,画数,成り立ち,学年,漢字検定,JIS水準,漢字について,補足
一,１画（一１＋０）,指事。一本の横棒が数の「ひとつ」を表したもの。,小学校１年生,１０級,第１水準,一は、ひとつ / ひとたび / はじめ / 同じ / ひとつにする / すべてなどの意味を持つ漢字です。部首は一部に属し、画数は１画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、イチ / イツ / ひと / ひと（つ） / はじ（め）などがあります。,NULL
音,９画（音９＋０）,NULL,小学校１年生,１０級,第１水準,音は、おと / たより / 知らせなどの意味を持つ漢字です。部首は音部に属し、画数は９画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、オン / イン / おと / ね / たよ（り）などがあります。,NULL
雨,８画（雨８＋０）,NULL,小学校１年生,１０級,第１水準,雨は、あめ / ふるなどの意味を持つ漢字です。部首は雨部に属し、画数は８画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、ウ / あま / あめなどがあります。,NULL
円,４画（冂２＋２）,NULL,小学校１年生,１０級,第１水準,円は、まる / まるい / つぶら / まったし / えんなどの意味を持つ漢字です。部首は冂部に属し、画数は４画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、エン / まる（い） / つぶら（か） / まど（か） / まろ（やか）などがあります。,NULL
王,４画（玉４＋０）,NULL,小学校１年生,１０級,第１水準,王は、きみ / 天子 / 君主 / 天下を統治するなどの意味を持つ漢字です。部首は玉部に属し、画数は４画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、オウ / きみなどがあります。,NULL
火,４画（火４＋０）,NULL,小学校１年生,１０級,第１水準,火は、ひ / あかり / 焼く / いそぐなどの意味を持つ漢字です。部首は火部に属し、画数は４画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、カ / コ / ひ / ほなどがあります。,NULL
花,７画（艸３＋４）,NULL,小学校１年生,１０級,第１水準,花は、はな / はなのような形をしたもの / はなが開く / 目がかすむなどの意味を持つ漢字です。部首は艸部に属し、画数は７画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、カ / ケ / はななどがあります。,NULL
貝,７画（貝７＋０）,NULL,小学校１年生,１０級,第１水準,貝は、かい / たからなどの意味を持つ漢字です。部首は貝部に属し、画数は７画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、バイ / かいなどがあります。,NULL
学,８画（子３＋５）,NULL,小学校１年生,１０級,第１水準,学は、まなぶ / まなび / まなびや / まなぶ者などの意味を持つ漢字です。部首は子部に属し、画数は８画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、ガク / まな（ぶ）などがあります。,NULL
休,６画（人２＋４）,NULL,小学校１年生,１０級,第１水準,休は、やすむ / さいわい / やめるなどの意味を持つ漢字です。部首は人部に属し、画数は６画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、キュウ / ク / やす（まる） / やす（む） / やす（める）などがあります。,NULL
九,２画（乙１＋１）,NULL,小学校１年生,１０級,第１水準,九は、ここの / ここのたび / あまた / あつまるなどの意味を持つ漢字です。部首は乙部に属し、画数は２画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、キュウ / ク / ここの / ここの（つ） / あまたなどがあります。,NULL
玉,５画（玉５＋０）,NULL,小学校１年生,１０級,第１水準,玉は、たま / 宝石 / 美しい / たまのように丸いものなどの意味を持つ漢字です。部首は玉部に属し、画数は５画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、ギョク / ゴク / たまなどがあります。,NULL
空,８画（穴５＋３）,NULL,小学校１年生,１０級,第１水準,空は、そら / むなしい / むなしくする / 広い / から / 無駄になどの意味を持つ漢字です。部首は穴部に属し、画数は８画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、クウ / あ（く） / あ（ける） / から / そら / あななどがあります。,NULL
気,６画（气４＋２）,NULL,小学校１年生,１０級,第１水準,気は、くうき / いき / 呼吸 / 元気 / 活力などの意味を持つ漢字です。部首は气部に属し、画数は６画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、キ / ケ / いきなどがあります。,NULL
下,３画（一１＋２）,指事。基準となる長い横線の下に、短い横線（のちに縦線、さらに縦線と点を合わせた形）を書いて、したや低いことを示す。,小学校１年生,１０級,第１水準,下は、した / さがる / もと / くだすなどの意味を持つ漢字です。部首は一部に属し、画数は３画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、カ / ゲ / お（りる） / お（ろす） / くだ（さる）などがあります。,NULL
月,４画（月４＋０）,NULL,小学校１年生,１０級,第１水準,月は、空にみえるつき / 一年を十二分したつき / 月曜日などの意味を持つ漢字です。部首は月部に属し、画数は４画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、ガツ / ゲツ / つきなどがあります。,NULL
見,７画（見７＋０）,NULL,小学校１年生,１０級,第１水準,見は、みる / 人に会う / あらわれるなどの意味を持つ漢字です。部首は見部に属し、画数は７画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、ケン / ゲン / み（える） / み（せる） / み（る）などがあります。,NULL
犬,４画（犬４＋０）,NULL,小学校１年生,１０級,第１水準,犬は、いぬ / つまらない者などの意味を持つ漢字です。部首は犬部に属し、画数は４画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、ケン / いぬなどがあります。,NULL
五,４画（二２＋２）,NULL,小学校１年生,１０級,第１水準,五は、数の五つ / 五回などの意味を持つ漢字です。部首は二部に属し、画数は４画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、ゴ / いつ / いつ（つ）などがあります。,NULL
口,３画（口３＋０）,NULL,小学校１年生,１０級,第１水準,口は、くち / 人や物が出入りするところ / しゃべるなどの意味を持つ漢字です。部首は口部に属し、画数は３画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、ク / コウ / くちなどがあります。,NULL
校,１０画（木４＋６）,NULL,小学校１年生,１０級,第１水準,校は、まなびや / 学校 / 学舎などの意味を持つ漢字です。部首は木部に属し、画数は１０画、習う学年は小学校１年生、漢字検定の級は１０級です。読み方には、コウ / キョウ / あぜ / かせ / かんが（える） / くら（べる）などがあります。,NULL
