漢字,名乗り訓
一,い
一,おさむ
一,か
一,かず
一,かつ
一,はじめ
一,ひ
一,ひで
一,ひとし
一,まこと
一,もと
音,お
音,と
音,なり
雨,さめ
雨,ふる
円,かず
円,つぶら
円,のぶ
円,まど
円,まどか
円,まる
円,みつ
王,お
王,き
王,たか
王,わ
王,わか
花,はる
花,みち
花,もと
学,あきら
学,さと
学,たか
学,のり
学,ひさ
学,まなぶ
学,みち
九,かず
九,ここ
九,ただ
九,ちか
九,ひさ
九,ひさし
玉,きよ
玉,た
空,く
空,たか
気,おき
月,づき
見,あき
見,あきら
見,ちか
見,まゆみ
見,み
五,い
五,いず
五,かず
五,ゆき
金,か
左,すけ
三,かず
三,さ
三,さぶ
三,そ
三,ぞう
三,なお
三,みつ
山,たか
山,たかし
山,たけし
四,ひろ
四,もち
子,たか
子,とし
子,やす
糸,たえ
糸,ため
糸,つら
糸,より
耳,み
七,かず
七,な
車,くら
車,のり
十,かず
十,しげ
十,じつ
十,そ
十,ただ
十,とみ
十,ひさし
十,みつ
十,みつる
出,いず
出,いずる
女,こ
女,たか
女,よし
小,ち
正,あきら
正,かみ
正,ただし
正,なお
正,まさし
正,よし
森,しげ
森,しげる
人,きよ
人,たみ
人,と
人,ひこ
人,ひとし
人,め
水,たいら
水,な
水,み
水,みな
水,ゆ
生,あり
生,い
生,いき
生,いく
生,う
生,うまる
生,お
生,おき
生,すすむ
生,たか
生,なり
生,のう
生,のり
生,ふ
生,ふゆ
生,ぶ
生,み
生,よ
青,きよ
青,しげ
青,しげる
青,じょう
青,はる
石,あつ
石,いそ
石,いわ
石,かた
石,し
夕,ゆ
千,かず
千,ゆき
先,すすむ
先,ゆき
草,かや
草,さ
草,しげ
早,さき
足,たり
足,なり
足,みつ
足,ゆき
村,さと
村,すえ
村,つね
大,お
大,た
大,たけし
大,とも
大,はじめ
大,はる
大,ひろ
大,ひろし
大,まさる
大,もと
男,お
男,おと
竹,たか
天,かみ
天,たか
天,たかし
二,かず
二,つぎ
二,つぐ
二,ならぶ
二,ふ
日,あき
日,あさ
日,はる
日,ひる
年,かず
年,ちか
年,と
年,みのる
白,あき
白,あきら
白,きよ
八,かず
八,は
八,やつ
八,わ
八,わかつ
百,お
百,と
百,も
名,あきら
名,かた
名,なずく
名,もり
木,しげ
目,み
文,あき
文,いと
文,とも
文,のり
文,ふ
文,み
文,や
文,やす
文,ゆき
文,よし
右,あき
右,すけ
右,たか
右,たすく
右,ゆ
力,いさお
力,いさむ
力,お
力,か
力,ちか
力,つとむ
力,よし
力,り
立,たか
立,たかし
立,たち
立,たつ
立,たつる
立,たて
立,たる
立,はる
林,き
林,しげ
林,もと
林,もり
林,よし
六,むつ
羽,つばさ
羽,ば
羽,わね
雲,も
雲,ゆく
会,あい
海,あま
海,うな
海,み
楽,ささ
楽,もと
楽,よし
楽,ら
活,いく
丸,まろ
記,とし
記,なり
記,のり
記,ふさ
記,ふみ
記,よし
弓,ゆ
牛,とし
魚,いお
