漢字,音訓,読み,送り仮名,学年,表内読み
一,音,イチ,NULL,小学校で習う読み,表内読み
一,音,イツ,NULL,小学校で習う読み,表内読み
一,訓,ひと,NULL,小学校で習う読み,表内読み
一,訓,ひと,つ,小学校で習う読み,表内読み
一,訓,はじ,め,NULL,表外読み
音,音,オン,NULL,小学校で習う読み,表内読み
音,音,イン,NULL,中学校で習う読み,表内読み
音,訓,おと,NULL,小学校で習う読み,表内読み
音,訓,ね,NULL,小学校で習う読み,表内読み
音,訓,たよ,り,NULL,表外読み
雨,音,ウ,NULL,１番,表内読み
雨,訓,あま,NULL,小学校で習う読み,表内読み
雨,訓,あめ,NULL,小学校で習う読み,表内読み
円,音,エン,NULL,小学校で習う読み,表内読み
円,訓,まる,い,小学校で習う読み,表内読み
円,訓,つぶら,か,NULL,表外読み
円,訓,まど,か,NULL,表外読み
円,訓,まろ,やか,NULL,表外読み
王,音,オウ,NULL,小学校で習う読み,表内読み
王,訓,きみ,NULL,NULL,表外読み
火,音,カ,NULL,小学校で習う読み,表内読み
火,音,コ,NULL,NULL,表外読み
火,訓,ひ,NULL,小学校で習う読み,表内読み
火,訓,ほ,NULL,高校で習う読み,表内読み
花,音,カ,NULL,小学校で習う読み,表内読み
花,音,ケ,NULL,NULL,表外読み
花,訓,はな,NULL,小学校で習う読み,表内読み
貝,音,バイ,NULL,NULL,表外読み
貝,訓,かい,NULL,小学校で習う読み,表内読み
学,音,ガク,NULL,小学校で習う読み,表内読み
学,訓,まな,ぶ,小学校で習う読み,表内読み
休,音,キュウ,NULL,１番,表内読み
休,音,ク,NULL,２番,表内読み
休,訓,やす,まる,小学校で習う読み,表内読み
休,訓,やす,む,小学校で習う読み,表内読み
休,訓,やす,める,小学校で習う読み,表内読み
休,訓,いこ,う,NULL,表外読み
休,訓,さいわ,い,NULL,表外読み
休,訓,や,める,NULL,表外読み
休,訓,よ,い,NULL,表外読み
九,音,キュウ,NULL,小学校で習う読み,表内読み
九,音,ク,NULL,小学校で習う読み,表内読み
九,訓,ここの,NULL,小学校で習う読み,表内読み
九,訓,ここの,つ,小学校で習う読み,表内読み
九,訓,あまた,NULL,NULL,表外読み
玉,音,ギョク,NULL,小学校で習う読み,表内読み
玉,音,ゴク,NULL,NULL,表外読み
玉,訓,たま,NULL,小学校で習う読み,表内読み
空,音,クウ,NULL,１番,表内読み
空,訓,あ,く,小学校で習う読み,表内読み
空,訓,あ,ける,小学校で習う読み,表内読み
空,訓,から,NULL,小学校で習う読み,表内読み
空,訓,そら,NULL,小学校で習う読み,表内読み
空,訓,あな,NULL,NULL,表外読み
空,訓,うつ,ける,NULL,表外読み
空,訓,うつ,ろ,NULL,表外読み
空,訓,うろ,NULL,NULL,表外読み
空,訓,す,く,NULL,表外読み
空,訓,むな,しい,NULL,表外読み
気,音,キ,NULL,小学校で習う読み,表内読み
気,音,ケ,NULL,小学校で習う読み,表内読み
気,訓,いき,NULL,NULL,表外読み
下,音,カ,NULL,小学校で習う読み,表内読み
下,音,ゲ,NULL,小学校で習う読み,表内読み
下,訓,お,りる,小学校で習う読み,表内読み
下,訓,お,ろす,小学校で習う読み,表内読み
下,訓,くだ,さる,小学校で習う読み,表内読み
下,訓,くだ,す,小学校で習う読み,表内読み
下,訓,くだ,る,小学校で習う読み,表内読み
下,訓,さ,がる,小学校で習う読み,表内読み
下,訓,さ,げる,小学校で習う読み,表内読み
下,訓,した,NULL,小学校で習う読み,表内読み
下,訓,しも,NULL,小学校で習う読み,表内読み
下,訓,もと,NULL,中学校で習う読み,表内読み
月,音,ガツ,NULL,小学校で習う読み,表内読み
月,音,ゲツ,NULL,小学校で習う読み,表内読み
月,訓,つき,NULL,小学校で習う読み,表内読み
見,音,ケン,NULL,１番,表内読み
見,音,ゲン,NULL,２番,表内読み
見,訓,み,える,小学校で習う読み,表内読み
見,訓,み,せる,小学校で習う読み,表内読み
見,訓,み,る,小学校で習う読み,表内読み
見,訓,あらわ,す,NULL,表外読み
見,訓,あらわ,れる,NULL,表外読み
見,訓,まみ,える,NULL,表外読み
犬,音,ケン,NULL,小学校で習う読み,表内読み
犬,訓,いぬ,NULL,小学校で習う読み,表内読み
五,音,ゴ,NULL,小学校で習う読み,表内読み
五,訓,いつ,NULL,小学校で習う読み,表内読み
五,訓,いつ,つ,小学校で習う読み,表内読み
口,音,ク,NULL,小学校で習う読み,表内読み
口,音,コウ,NULL,小学校で習う読み,表内読み
口,訓,くち,NULL,小学校で習う読み,表内読み
校,音,コウ,NULL,１番,表内読み
校,音,キョウ,NULL,１番,表内読み
校,訓,あぜ,NULL,NULL,表外読み
校,訓,かせ,NULL,NULL,表外読み
校,訓,かんが,える,NULL,表外読み
校,訓,くら,べる,NULL,表外読み
金,音,キン,NULL,小学校で習う読み,表内読み
金,音,コン,NULL,小学校で習う読み,表内読み
金,訓,かな,NULL,小学校で習う読み,表内読み
金,訓,かね,NULL,小学校で習う読み,表内読み
金,訓,こがね,NULL,NULL,表外読み
左,音,サ,NULL,１番,表内読み
左,訓,ひだり,NULL,小学校で習う読み,表内読み
三,音,サン,NULL,小学校で習う読み,表内読み
三,訓,み,NULL,小学校で習う読み,表内読み
三,訓,み,つ,小学校で習う読み,表内読み
三,訓,みっ,つ,小学校で習う読み,表内読み
山,音,サン,NULL,小学校で習う読み,表内読み
山,音,セン,NULL,NULL,表外読み
山,訓,やま,NULL,小学校で習う読み,表内読み
四,音,シ,NULL,小学校で習う読み,表内読み
四,訓,よ,NULL,小学校で習う読み,表内読み
四,訓,よ,つ,小学校で習う読み,表内読み
四,訓,よっ,つ,小学校で習う読み,表内読み
四,訓,よん,NULL,小学校で習う読み,表内読み
子,音,シ,NULL,小学校で習う読み,表内読み
子,音,ス,NULL,小学校で習う読み,表内読み
子,訓,こ,NULL,小学校で習う読み,表内読み
子,訓,おとこ,NULL,NULL,表外読み
子,訓,ね,NULL,NULL,表外読み
子,訓,み,NULL,NULL,表外読み
糸,音,シ,NULL,１番,表内読み
糸,音,ベキ,NULL,２番,表内読み
糸,訓,いと,NULL,１番,表内読み
字,音,ジ,NULL,小学校で習う読み,表内読み
字,音,シ,NULL,NULL,表外読み
字,訓,あざ,NULL,中学校で習う読み,表内読み
字,訓,あざな,NULL,NULL,表外読み
耳,音,ジ,NULL,中学校で習う読み,表内読み
耳,音,ニ,NULL,NULL,表外読み
耳,訓,みみ,NULL,小学校で習う読み,表内読み
耳,訓,のみ,NULL,NULL,表外読み
七,音,シチ,NULL,小学校で習う読み,表内読み
七,音,シツ,NULL,NULL,表外読み
七,訓,なな,NULL,小学校で習う読み,表内読み
七,訓,なな,つ,小学校で習う読み,表内読み
七,訓,なの,NULL,小学校で習う読み,表内読み
車,音,シャ,NULL,小学校で習う読み,表内読み
車,訓,くるま,NULL,小学校で習う読み,表内読み
手,音,シュ,NULL,小学校で習う読み,表内読み
手,音,ズ,NULL,NULL,表外読み
手,訓,て,NULL,小学校で習う読み,表内読み
手,訓,た,NULL,中学校で習う読み,表内読み
十,音,ジッ,NULL,小学校で習う読み,表内読み
十,音,ジュウ,NULL,小学校で習う読み,表内読み
十,音,ジュッ,NULL,NULL,表外読み
十,訓,と,NULL,小学校で習う読み,表内読み
十,訓,とお,NULL,小学校で習う読み,表内読み
出,音,シュツ,NULL,小学校で習う読み,表内読み
出,音,スイ,NULL,中学校で習う読み,表内読み
出,訓,だ,す,小学校で習う読み,表内読み
出,訓,で,る,小学校で習う読み,表内読み
出,訓,いだ,す,NULL,表外読み
出,訓,い,づ,NULL,表外読み
女,音,ジョ,NULL,１番,表内読み
女,音,ニョ,NULL,１番,表内読み
女,音,ニョウ,NULL,１番,表内読み
女,訓,おんな,NULL,小学校で習う読み,表内読み
女,訓,め,NULL,中学校で習う読み,表内読み
女,訓,なんじ,NULL,NULL,表外読み
女,訓,むすめ,NULL,NULL,表外読み
女,訓,めあ,わせる,NULL,表外読み
小,音,ショウ,NULL,小学校で習う読み,表内読み
小,訓,お,NULL,小学校で習う読み,表内読み
小,訓,こ,NULL,小学校で習う読み,表内読み
小,訓,ちい,さい,小学校で習う読み,表内読み
小,訓,さ,NULL,NULL,表外読み
正,音,ショウ,NULL,１番,表内読み
正,音,セイ,NULL,１番,表内読み
正,訓,ただ,しい,小学校で習う読み,表内読み
正,訓,ただ,す,小学校で習う読み,表内読み
正,訓,まさ,NULL,小学校で習う読み,表内読み
上,音,ジョウ,NULL,小学校で習う読み,表内読み
上,音,ショウ,NULL,高校で習う読み,表内読み
上,訓,あ,がる,小学校で習う読み,表内読み
上,訓,あ,げる,小学校で習う読み,表内読み
上,訓,うえ,NULL,小学校で習う読み,表内読み
上,訓,うわ,NULL,小学校で習う読み,表内読み
上,訓,かみ,NULL,小学校で習う読み,表内読み
上,訓,のぼ,る,小学校で習う読み,表内読み
上,訓,のぼ,す,中学校で習う読み,表内読み
上,訓,のぼ,せる,中学校で習う読み,表内読み
上,訓,たてまつ,る,NULL,表外読み
上,訓,ほとり,NULL,NULL,表外読み
森,音,シン,NULL,小学校で習う読み,表内読み
森,訓,もり,NULL,小学校で習う読み,表内読み
人,音,ジン,NULL,小学校で習う読み,表内読み
人,音,ニン,NULL,小学校で習う読み,表内読み
人,訓,ひと,NULL,小学校で習う読み,表内読み
水,音,スイ,NULL,小学校で習う読み,表内読み
水,訓,みず,NULL,小学校で習う読み,表内読み
生,音,ショウ,NULL,小学校で習う読み,表内読み
生,音,セイ,NULL,小学校で習う読み,表内読み
生,訓,い,かす,小学校で習う読み,表内読み
生,訓,い,きる,小学校で習う読み,表内読み
生,訓,い,ける,小学校で習う読み,表内読み
生,訓,う,まれる,小学校で習う読み,表内読み
生,訓,う,む,小学校で習う読み,表内読み
生,訓,なま,NULL,小学校で習う読み,表内読み
生,訓,は,える,小学校で習う読み,表内読み
生,訓,は,やす,小学校で習う読み,表内読み
生,訓,お,う,中学校で習う読み,表内読み
生,訓,き,NULL,中学校で習う読み,表内読み
生,訓,いのち,NULL,NULL,表外読み
生,訓,うぶ,NULL,NULL,表外読み
生,訓,な,す,NULL,表外読み
生,訓,な,る,NULL,表外読み
青,音,セイ,NULL,小学校で習う読み,表内読み
青,音,ショウ,NULL,高校で習う読み,表内読み
青,訓,あお,NULL,小学校で習う読み,表内読み
青,訓,あお,い,小学校で習う読み,表内読み
赤,音,セキ,NULL,小学校で習う読み,表内読み
赤,音,シャク,NULL,高校で習う読み,表内読み
赤,訓,あか,NULL,小学校で習う読み,表内読み
赤,訓,あか,い,小学校で習う読み,表内読み
赤,訓,あか,らむ,小学校で習う読み,表内読み
赤,訓,あか,らめる,小学校で習う読み,表内読み
石,音,シャク,NULL,小学校で習う読み,表内読み
石,音,セキ,NULL,小学校で習う読み,表内読み
石,音,コク,NULL,中学校で習う読み,表内読み
石,音,ジャク,NULL,NULL,表外読み
石,訓,いし,NULL,小学校で習う読み,表内読み
夕,音,セキ,NULL,中学校で習う読み,表内読み
夕,訓,ゆう,NULL,小学校で習う読み,表内読み
夕,訓,ゆう,べ,NULL,表外読み
千,音,セン,NULL,小学校で習う読み,表内読み
千,訓,ち,NULL,小学校で習う読み,表内読み
先,音,セン,NULL,小学校で習う読み,表内読み
先,訓,さき,NULL,小学校で習う読み,表内読み
先,訓,ま,ず,NULL,表外読み
川,音,セン,NULL,中学校で習う読み,表内読み
川,訓,かわ,NULL,小学校で習う読み,表内読み
草,音,ソウ,NULL,小学校で習う読み,表内読み
草,訓,くさ,NULL,小学校で習う読み,表内読み
早,音,ソウ,NULL,小学校で習う読み,表内読み
早,音,サッ,NULL,中学校で習う読み,表内読み
早,訓,はや,い,小学校で習う読み,表内読み
早,訓,はや,まる,小学校で習う読み,表内読み
早,訓,はや,める,小学校で習う読み,表内読み
早,訓,さ,NULL,NULL,表外読み
足,音,ソク,NULL,小学校で習う読み,表内読み
足,訓,あし,NULL,小学校で習う読み,表内読み
足,訓,た,す,小学校で習う読み,表内読み
足,訓,た,りる,小学校で習う読み,表内読み
足,訓,た,る,小学校で習う読み,表内読み
村,音,ソン,NULL,小学校で習う読み,表内読み
村,訓,むら,NULL,小学校で習う読み,表内読み
大,音,タイ,NULL,小学校で習う読み,表内読み
大,音,ダイ,NULL,小学校で習う読み,表内読み
大,音,タ,NULL,NULL,表外読み
大,音,ダ,NULL,NULL,表外読み
大,訓,おお,NULL,小学校で習う読み,表内読み
大,訓,おお,いに,小学校で習う読み,表内読み
大,訓,おお,きい,小学校で習う読み,表内読み
男,音,ダン,NULL,小学校で習う読み,表内読み
男,音,ナン,NULL,小学校で習う読み,表内読み
男,訓,おとこ,NULL,小学校で習う読み,表内読み
男,訓,おのこ,NULL,NULL,表外読み
竹,音,チク,NULL,小学校で習う読み,表内読み
竹,音,シツ,NULL,NULL,表外読み
竹,訓,たけ,NULL,小学校で習う読み,表内読み
