漢字,種別
一,教育漢字
一,常用漢字
一,名前に使える漢字
音,教育漢字
音,常用漢字
音,名前に使える漢字
雨,教育漢字
雨,常用漢字
雨,名前に使える漢字
円,教育漢字
円,常用漢字
円,名前に使える漢字
王,教育漢字
王,常用漢字
王,名前に使える漢字
火,教育漢字
火,常用漢字
火,名前に使える漢字
花,教育漢字
花,常用漢字
花,名前に使える漢字
貝,教育漢字
貝,常用漢字
貝,名前に使える漢字
学,教育漢字
学,常用漢字
学,名前に使える漢字
休,教育漢字
休,常用漢字
休,名前に使える漢字
九,教育漢字
九,常用漢字
九,名前に使える漢字
玉,教育漢字
玉,常用漢字
玉,名前に使える漢字
空,教育漢字
空,常用漢字
空,名前に使える漢字
気,教育漢字
気,常用漢字
気,名前に使える漢字
下,教育漢字
下,常用漢字
下,名前に使える漢字
月,教育漢字
月,常用漢字
月,名前に使える漢字
見,教育漢字
見,常用漢字
見,名前に使える漢字
犬,教育漢字
犬,常用漢字
犬,名前に使える漢字
五,教育漢字
五,常用漢字
五,名前に使える漢字
口,教育漢字
口,常用漢字
口,名前に使える漢字
