漢字,異体字
一,弌
雨,㲾
雨,𠕒
雨,𠕘
雨,𠕲
雨,𩁼
花,芲
貝,贝
下,丅
見,见
五,㐅
校,𤲽
左,㔫
三,弎
四,亖
子,㜽
車,车
出,岀
出,㞮
正,㱏
上,丄
赤,烾
赤,灻
石,䂖
川,巛
村,邨
大,亣
男,侽
町,甼
天,兲
土,圡
土,𡈽
二,弍
日,囸
年,秊
年,䄭
本,楍
本,㮺
引,㧈
園,薗
夏,夓
歌,謌
回,囘
回,囬
間,閒
間,间
記,记
記,𧪄
魚,鱼
強,强
京,亰
計,计
原,厡
原,𨘡
語,语
工,㣉
光,灮
光,炗
光,炛
光,㫕
公,㒶
高,髙
細,细
作,㑅
算,筭
紙,帋
紙,纸
姉,姊
時,时
時,旹
秋,龝
秋,穐
秋,秌
春,萅
春,旾
書,书
場,塲
場,场
場,㘯
親,亲
親,媇
頭,头
西,卥
西,卤
西,㢴
星,曐
星,皨
星,㽮
船,舩
線,綫
線,线
線,缐
組,组
走,赱
走,㞫
地,坔
地,埊
地,墬
地,嶳
長,镸
長,兏
長,长
長,仧
鳥,鸟
電,电
刀,釖
東,东
同,仝
肉,宍
馬,马
買,买
風,飌
風,凬
風,凮
風,风
風,凨
聞,闻
聞,𥹢
鳴,鸣
明,朙
門,閅
門,门
野,埜
野,壄
野,㙒
野,𡌛
夜,亱
友,㕛
話,䛡
話,话
育,毓
員,员
員,貟
員,贠
央,㡕
開,开
界,畍
階,堦
階,阶
岸,㟁
岸,堓
去,厺
橋,槗
橋,𣘺
橋,桥
業,业
銀,银
宮,宫
化,㐶
化,𠏁
決,决
庫,库
始,乨
始,兘
詩,诗
事,亊
事,叓
事,㕝
昔,㫺
守,垨
守,㝊
集,雧
集,𠍱
集,雦
宿,㝛
植,㯰
申,𫐃
深,㴱
世,丗
世,卋
世,㔺
整,愸
族,㞺
第,㐧
題,题
談,谈
帳,帐
定,㝎
島,嶋
島,嶌
島,嶹
島,㠀
島,岛
等,䒭
湯,汤
動,动
農,辳
農,䢉
農,欁
農,农
波,溊
筆,笔
氷,冰
品,𠯮
負,负
部,郶
面,靣
問,问
陽,𬯆
陽,阳
陽,阦
陽,霷
流,㳅
流,沠
和,咊
和,龢
和,惒
愛,㤅
愛,爱
以,㠯
印,币
英,偀
億,亿
貨,货
課,课
旗,㫅
紀,纪
希,㠻
議,议
給,给
協,协
鏡,镜
競,竸
競,竞
訓,训
軍,军
型,坓
結,结
健,徤
功,㓛
功,糼
好,㝀
最,冣
最,㝡
散,㪚
史,㕜
試,试
司,㟃
治,乿
借,徣
順,顺
順,㥧
初,䥚
唱,誯
笑,㗛
松,枩
松,枀
松,柗
松,梥
松,㮤
松,庺
賞,赏
象,𮙞
照,㷖
照,燳
省,䁞
信,訫
信,孞
信,㐰
清,淸
積,积
折,㪿
説,說
説,说
倉,仺
倉,仓
側,侧
卒,卆
卒,䘚
孫,孙
貯,贮
腸,膓
腸,肠
低,仾
底,㡳
的,旳
徒,𨑒
堂,坣
堂,㙶
得,㝶
毒,𡴛
熱,热
敗,贁
敗,败
飛,飞
費,费
標,标
別,别
法,佱
法,灋
法,㳒
脈,脉
脈,衇
勇,勈
勇,㦷
陸,陆
漁,渔
料,䉼
輪,轮
移,䄬
因,囙
往,徃
恩,㤙
賀,贺
解,觧
額,頟
額,额
慣,惯
規,规
規,䂓
規,槼
規,椝
義,义
久,镹
久,乆
許,许
居,㝒
群,羣
群,䭽
潔,㓗
現,现
減,减
耕,畊
厚,㫗
厚,垕
興,㒷
査,查
災,灾
災,烖
際,际
在,扗
罪,辠
財,戝
財,财
財,㒲
資,资
師,师
似,佀
識,识
質,貭
質,儨
質,质
謝,谢
修,俢
準,凖
序,㘧
序,䦽
承,𣴎
常,㦂
職,聀
職,軄
職,职
織,𦀗
織,织
制,𠝁
勢,㔟
勢,势
責,责
績,绩
設,设
接,擑
絶,絕
絶,绝
素,㕖
則,则
則,𠟭
則,𠟻
測,测
損,损
貸,贷
態,㑷
態,态
張,张
統,綂
統,统
銅,铜
比,夶
備,僃
備,偹
備,俻
貧,贫
富,冨
保,㙅
報,报
暴,㬥
暴,㫧
務,务
綿,緜
綿,㮌
綿,绵
預,预
容,㝐
率,卛
略,畧
留,畄
留,畱
留,㽞
領,领
宇,𡧃
宇,㡰
宇,㝢
宇,㙑
映,暎
沿,㳂
閣,阁
揮,挥
貴,䝿
貴,贵
胸,胷
筋,荕
筋,䈥
警,䜘
劇,剧
絹,绢
源,厵
誤,误
紅,红
鋼,钢
策,萗
詞,䛐
詞,词
磁,礠
射,䠶
樹,树
衆,眾
縮,缩
純,𥾑
純,纯
純,㝄
傷,伤
蒸,䒱
針,针
仁,忎
垂,埀
聖,垩
聖,琞
泉,洤
泉,㟫
善,譱
操,撡
創,创
創,刅
創,戧
創,戗
窓,窗
窓,窻
窓,䆫
窓,牕
窓,牎
宅,㡯
値,值
頂,顶
賃,赁
展,㞡
討,讨
糖,糛
糖,𥹥
糖,𥼽
認,认
納,纳
派,沠
陛,㙄
閉,閇
閉,闭
補,䋠
補,补
訪,访
幕,幙
密,宻
幼,㓜
裏,裡
臨,临
論,论
維,维
陰,侌
陰,阴
陰,阥
陰,隂
鉛,铅
汚,污
汚,汙
憶,忆
較,䡈
較,较
刈,苅
監,监
乾,乹
乾,亁
乾,漧
鑑,鑒
鑑,鍳
鑑,鑬
鑑,鉴
環,环
奇,竒
輝,辉
幾,㡬
儀,仪
詰,诘
脚,腳
脚,踋
却,卻
却,㕁
丘,㐀
丘,丠
丘,坵
丘,㘳
朽,𣏓
凶,㐫
凶,㓙
況,况
繰,缲
傾,倾
堅,坚
軒,轩
玄,𤣥
玄,𤇡
鼓,皷
鼓,鼔
鼓,皼
互,㸦
更,㪅
稿,稾
香,㿝
項,项
豪,儫
婚,㛰
載,载
雌,䳄
旨,㫖
執,执
襲,㦻
襲,袭
紹,绍
紹,綤
詳,详
丈,𠀋
浸,濅
浸,寖
浸,㴆
陣,阵
吹,龡
征,徰
跡,迹
跡,䟱
鮮,赻
鮮,鲜
訴,诉
替,㬱
濁,浊
丹,㣋
恥,耻
澄,澂
澄,瀓
珍,珎
珍,鉁
沈,沉
抵,拞
堤,埞
添,𣷹
唐,啺
塔,墖
塔,㗳
鈍,䤜
鈍,钝
濃,浓
輩,軰
輩,辈
杯,盃
杯,桮
杯,㮎
泊,淿
爆,煿
罰,罸
罰,罚
販,贩
盤,鎜
盤,盘
尾,㞑
微,㣲
怖,悑
膚,肤
腐,焤
普,暜
賦,䝾
賦,赋
柄,棅
峰,峯
凡,凢
凡,凣
漫,澷
妙,玅
霧,霚
霧,雾
網,䋞
紋,纹
躍,跃
雄,䧺
踊,踴
雷,靁
雷,壨
雷,䨓
絡,络
療,疗
麗,䴡
麗,婯
麗,丽
烈,烮
烈,煭
腕,䯛
閲,閱
閲,阅
卸,缷
卸,䣃
架,榢
華,蕐
華,华
怪,恠
塊,块
塊,㙕
該,该
郭,墎
貫,䝺
貫,贯
緩,缓
換,换
喚,唤
企,㑫
軌,䡄
軌,轨
棄,弃
棋,棊
棋,檱
棋,㯦
棋,櫀
忌,坖
岐,㞿
岐,㟚
騎,骑
菊,蘜
吉,𠮷
脅,脋
脅,胁
脅,𦚰
緊,紧
携,攜
携,㩦
携,擕
携,㩗
刑,㓝
憩,憇
鯨,鲸
賢,贒
賢,贤
賢,䝨
幻,㕕
幻,𠄔
悟,忢
拘,抅
綱,纲
綱,㭃
絞,绞
獄,狱
魂,䰟
紺,绀
債,债
錯,错
暫,暂
諮,谘
軸,轴
鐘,钟
焦,㸈
昇,曻
昇,陹
匠,匞
錠,锭
冗,宂
審,宷
審,审
辛,𨐌
斥,㡿
繕,缮
礎,础
桑,桒
桑,𥸮
葬,塟
賊,戝
賊,贼
胎,孡
胎,囼
託,讬
卓,㔬
奪,夺
鍛,煅
鍛,锻
壇,坛
稚,穉
稚,稺
稚,䄺
稚,䆈
駐,驻
彫,㓮
陳,塦
陳,軙
陳,陈
訂,订
締,缔
哲,啠
哲,喆
哲,嚞
哲,埑
陶,嗂
凍,冻
篤,䔍
篤,笃
豚,豘
豚,㞘
尿,㞙
尿,㳮
粘,黏
婆,㜑
縛,缚
伐,傠
帆,㠶
帆,䑺
苗,鱙
紛,纷
縫,綘
縫,缝
邦,峀
邦,䢶
乏,𣥄
謀,谋
謀,㖼
又,叹
魅,鬽
魅,䰨
滅,㓕
滅,灭
憂,㥑
誘,䛻
誘,诱
擁,拥
擁,㨣
揚,敭
揚,扬
裸,躶
裸,𧝹
濫,滥
陵,琌
陵,䧙
糧,粮
零,霗
漏,屚
尉,叞
尉,㷉
韻,韵
姻,婣
猿,猨
渦,涡
蚊,蚉
蚊,蟁
蚊,螡
涯,漄
嚇,吓
潟,澙
款,欵
款,㱁
款,歀
閑,闲
頑,顽
擬,拟
宜,冝
宜,宐
宜,㝖
窮,竆
窮,穷
享,亯
矯,矫
恭,㳟
恭,𢙄
恭,𢚈
琴,珡
琴,琹
琴,䥅
琴,䥆
琴,䦦
襟,䘳
吟,訡
吟,噖
慶,庆
懸,悬
洪,潂
貢,贡
侯,矦
剛,㓻
剛,𡬺
剛,刚
昆,㒭
懇,恳
詐,诈
栽,㘽
崎,嵜
崎,㟢
崎,﨑
索,䌇
傘,仐
傘,伞
賜,赐
嗣,孠
肢,胑
璽,壐
璽,玺
蛇,虵
儒,㐵
酬,酧
酬,醻
銃,铳
淑,㳤
俊,㑓
庶,庻
升,㚈
償,偿
粧,糚
訟,䛦
訟,讼
詔,诏
娠,㛛
紳,绅
診,诊
帥,帅
崇,崈
杉,檆
畝,畆
畝,畒
畝,畞
畝,㽗
畝,畮
畝,𤰖
畝,𤰖
畝,亩
誓,䤱
析,㭊
漸,渐
疎,踈
塑,塐
藻,薻
喪,丧
喪,䘮
曹,曺
駄,馱
駄,驮
駄,䭾
惰,憜
泰,㤗
泰,𣳾
漬,渍
邸,䣌
偵,侦
貞,贞
徹,彻
搭,撘
棟,栋
軟,輭
軟,软
妊,姙
培,㟝
賠,赔
舶,艊
鉢,缽
鉢,钵
閥,阀
煩,烦
頒,颁
罷,罢
猫,貓
譜,谱
紡,纺
僕,㒒
僕,䑑
撲,擈
磨,䃺
銘,铭
窯,窰
窯,窑
羅,罗
酪,嗠
柳,桺
柳,𫞉
柳,栁
柳,桞
柳,橮
涼,凉
倫,伦
鈴,铃
賄,贿
曖,暧
嵐,岚
嵐,㞩
彙,彚
彙,汇
唄,呗
唄,㗑
怨,㤪
臆,肊
潰,溃
諧,谐
崖,崕
蓋,葢
蓋,盖
骸,䯐
柿,柹
柿,枾
顎,颚
釜,釡
玩,貦
毀,毁
